site,nrel.id,region,n.t.max
1,2305,west,75
2,2848,west,50
3,3256,west,49
4,3906,west,127
5,4026,west,50
6,4142,west,59
7,4368,west,215
8,4480,west,50
9,4594,west,357
10,4608,west,87
11,4711,west,112
12,4746,west,79
13,4752,west,112
14,4883,west,70
15,4914,west,129
16,4915,west,84
17,4987,west,84
18,4988,west,83
19,4990,west,63
20,5081,west,112
21,5103,west,94
22,5147,west,188
23,5149,west,58
24,5150,west,56
25,5177,west,331
26,5194,west,122
27,5222,west,50
28,5260,west,77
29,5266,west,84
30,5297,west,75
31,5336,west,82
32,5353,west,412
33,5365,west,128
34,5366,west,50
35,5398,west,203
36,5402,west,50
37,5406,west,50
38,5433,west,184
39,5434,west,115
40,5435,west,114
41,5439,west,59
42,5469,west,130
43,5471,west,87
44,5548,west,124
45,5551,west,70
46,5553,west,105
47,5629,west,542
48,5678,west,257
49,5702,west,109
50,5910,west,171
51,6362,west,175
52,6521,west,49
53,6568,west,115
54,138,east,50
55,3824,east,49
56,4025,east,65
57,4216,east,78
58,4402,east,49
59,4403,east,50
60,4561,east,60
61,5301,east,49
62,5368,east,86
63,5399,east,108
64,5511,east,81
65,5514,east,53
66,6524,downstate,58
